Time,LEPDiameter,REPDiameter,Fixation
1616035910037, 4.268799,3.981476,NULL
1616035910056, 4.278992,4.077652,NULL
1616035910071, 4.288101,4.182114,NULL
1616035910086, 4.28244,4.042938,NULL
1616035910100, 4.303162,4.006943,NULL
1616035910123, 4.416656,4.378143,NULL
1616035910138, 4.500137,4.277557,NULL
1616035910155, 4.403961,4.33316,NULL
1616035910177, -1,-1,NULL
1616035910199, -1,-1,NULL
1616035910221, -1,-1,NULL
1616035910243, -1,-1,NULL
1616035910269, -1,-1,NULL
1616035910288, -1,-1,NULL
1616035910313, -1,-1,NULL
1616035910332, -1,-1,NULL
1616035910354, -1,-1,NULL
1616035910377, -1,-1,NULL
1616035910400, -1,-1,NULL
1616035910421, -1,-1,NULL
1616035910444, -1,-1,NULL
1616035910469, -1,-1,NULL
1616035910487, -1,-1,NULL
1616035910510, -1,-1,NULL
1616035910532, -1,-1,NULL
1616035910554, -1,-1,NULL
1616035910569, -1,-1,NULL
1616035910595, -1,-1,NULL
1616035910611, -1,-1,NULL
1616035910627, -1,-1,NULL
1616035910643, -1,-1,NULL
1616035910658, -1,-1,NULL
1616035910676, -1,-1,NULL
1616035910690, -1,-1,NULL
1616035910705, -1,-1,NULL
1616035910720, -1,-1,NULL
1616035910735, -1,-1,NULL
1616035910750, -1,-1,NULL
1616035910765, -1,-1,NULL
1616035910780, -1,-1,NULL
1616035910794, -1,-1,NULL
1616035910808, -1,-1,NULL
1616035910823, -1,-1,NULL
1616035910838, -1,-1,NULL
1616035910853, -1,-1,NULL
1616035910868, -1,-1,NULL
1616035910886, -1,-1,NULL
1616035910901, -1,-1,NULL
1616035910916, -1,-1,NULL
1616035910939, -1,-1,NULL
1616035910954, -1,-1,NULL
1616035910969, -1,-1,NULL
1616035910984, -1,-1,NULL
1616035910999, -1,-1,NULL
1616035911014, -1,-1,NULL
1616035911032, -1,-1,NULL
1616035911055, -1,-1,NULL
1616035911076, -1,-1,NULL
1616035911103, -1,-1,NULL
1616035911121, -1,-1,NULL
1616035911143, -1,-1,NULL
1616035911165, -1,-1,NULL
1616035911188, -1,-1,NULL
1616035911210, -1,-1,NULL
1616035911231, -1,-1,NULL
1616035911254, -1,-1,NULL
1616035911277, -1,-1,NULL
1616035911302, -1,-1,NULL
1616035911321, -1,-1,NULL
1616035911343, -1,-1,NULL
1616035911366, -1,-1,NULL
1616035911388, 4.25264,4.253784,NULL
1616035911409, 4.724564,4.442184,NULL
1616035911431, 4.763641,4.496262,NULL
1616035911454, 4.885803,4.579941,NULL
1616035911468, 4.772781,4.61412,Obstacle1
1616035911484, 4.773621,4.577957,NULL
1616035911503, 4.814987,4.568451,Obstacle1
1616035911518, 4.88414,4.636978,Obstacle1
1616035911533, 4.759125,4.611603,Obstacle1
1616035911548, 4.837891,4.62413,NULL
1616035911565, 4.965866,4.584534,Obstacle1
1616035911581, 4.880051,4.537582,NULL
1616035911596, 4.982162,4.779556,NULL
1616035911612, 5.04895,4.668121,NULL
1616035911627, 4.887482,4.786316,NULL
1616035911642, 5.137878,4.831161,NULL
1616035911657, 4.897476,4.877899,NULL
1616035911672, 4.607147,4.826675,NULL
1616035911686, 5.149796,4.835449,NULL
1616035911712, 4.84993,4.670761,NULL
1616035911727, 4.567947,4.673904,NULL
1616035911741, 4.777985,4.566574,NULL
1616035911755, 4.923218,4.585541,NULL
1616035911770, 5.049316,4.562637,NULL
1616035911785, 4.712723,4.577362,NULL
1616035911800, 4.726074,4.675446,NULL
1616035911815, 4.588562,4.494415,NULL
1616035911830, 4.410583,4.313202,NULL
1616035911844, 4.635223,4.194839,Obstacle1
1616035911859, 4.348679,4.202393,NULL
1616035911878, 4.401337,4.256454,NULL
1616035911898, 4.431488,4.174881,NULL
1616035911925, 4.388,4.257202,NULL
1616035911942, 4.392593,4.235672,NULL
1616035911965, 4.422668,4.137802,NULL
1616035911988, 4.224442,4.115295,NULL
1616035912009, 4.142166,4.188126,NULL
1616035912032, 4.365585,4.151413,NULL
1616035912054, 4.47406,4.108154,NULL
1616035912079, 4.351639,4.008926,NULL
1616035912100, 4.17215,4.085205,NULL
1616035912124, 4.138107,4.02034,NULL
1616035912143, 4.397415,4.079071,NULL
1616035912165, 4.40744,3.959305,NULL
1616035912187, 4.109818,4.018402,NULL
1616035912209, 4.238297,3.982315,NULL
1616035912233, 4.144196,3.800964,NULL
1616035912255, 4.072998,3.786469,NULL
1616035912276, 4.162354,3.724564,NULL
1616035912299, 4.069519,3.829453,NULL
1616035912321, 4.03447,3.878632,NULL
1616035912341, 3.945908,3.787201,NULL
1616035912356, 3.997925,3.792099,NULL
1616035912371, 3.85791,3.796829,NULL
1616035912386, 3.857101,3.705902,NULL
1616035912400, -1,3.305359,NULL
1616035912415, -1,-1,NULL
1616035912429, -1,-1,NULL
1616035912443, -1,-1,NULL
1616035912466, -1,-1,NULL
1616035912481, -1,3.585587,NULL
1616035912496, -1,3.288254,NULL
1616035912512, -1,3.426956,NULL
1616035912527, -1,3.386353,NULL
1616035912546, 3.48201,3.509613,NULL
1616035912562, 3.776199,3.479034,NULL
1616035912577, 3.77533,3.488525,NULL
1616035912592, 3.753464,3.47966,NULL
1616035912606, 3.696854,3.48201,NULL
1616035912621, 3.767578,3.472672,NULL
1616035912635, 3.80481,3.49855,NULL
1616035912649, 3.816498,3.595932,NULL
1616035912665, 3.804947,3.444748,NULL
1616035912680, 3.841354,3.646515,NULL
1616035912696, 3.933777,3.503372,NULL
1616035912711, 3.925079,3.549332,NULL
1616035912726, 3.920441,3.602341,NULL
1616035912741, 3.981247,3.592148,NULL
1616035912767, 3.938309,3.608261,NULL
1616035912783, 3.905014,3.59314,NULL
1616035912798, 4.016373,3.527527,NULL
1616035912820, 3.932373,3.547058,NULL
1616035912843, 4.033646,3.648834,NULL
1616035912865, 4.143082,3.658493,NULL
1616035912887, 4.115585,3.792877,NULL
1616035912913, 4.030075,3.793549,NULL
1616035912942, 4.076874,3.686569,NULL
1616035912960, 4.138855,3.683899,NULL
1616035912975, 4.123413,3.804688,NULL
1616035912998, 4.233948,3.726791,NULL
1616035913020, 4.156509,3.744492,NULL
1616035913042, 4.266495,3.715698,NULL
1616035913065, 4.146423,3.755127,NULL
1616035913087, 3.999023,3.80925,NULL
1616035913110, 4.152802,3.951874,NULL
1616035913132, 4.290421,4.015625,Obstacle1
1616035913154, 4.305954,3.835464,Obstacle1
1616035913180, 4.259293,3.710083,Obstacle1
